e.6cbf55e7c81df51d,e.785f8ac3c1ea1c93,p.6cbf55e7c81df51d,p.785f8ac3c1ea1c93,q.0,q.12c413657efa280e,q.15344ef7910c2692,q.155332a4fba33e8f,q.16de1501ad6d003e,q.175ed29f1d4c8f03,q.1a2c43d7d39b748b,q.1b3bce987495336c,q.1cc005c01b3a8aa3,q.1e299bdd1cf7a625,q.1fa28c0ba7f9aec8,q.21fb19005f6951c4,q.23b59dd0c808f4c6,q.23b7f472edde0ce6,q.277e44a955cf2949,q.27ce5f24555e180a,q.2b3296a08411ef24,q.2c509f1ed2220464,q.2e09446e39e26d42,q.2e28d0e1402904b2,q.30355f4cc6ee0d6c,q.314a75fdd331c3f8,q.34e6a18f315e7d2f,q.36c2c875df9317b4,q.38319f8fc78ab9de,q.3a50160006e2d12d,q.3af0af64c28fa6d5,q.3b3de5d772c846cf,q.3c333e5504c64ad3,q.3f72bdc1b8ddb24,q.404c71da2e4826c2,q.41d91f7a05beb14a,q.42107779fcd075ef,q.44eb95b6005c26b,q.463e39a4acf55512,q.46b40798beef0876,q.46b9e5597a64f0e7,q.46d0a9841d8d15,q.48c3dc4f13827d2d,q.4c781fca13c4e0fa,q.4d5895b6699ba297,q.4ebdc6945a09b165,q.5049294d0dee99ae,q.5289fdf1dab07838,q.52e137ce5f0856e0,q.52ed044d2326c87d,q.54724e8bdf60a268,q.564397e6a3409cfe,q.56a5967121715c3c,q.56e2545df60a134c,q.5721c438ee6a188,q.57636a074c36eb44,q.584140440d5f0b68,q.5a62368ba35d9f59,q.5b76e1c3a932bdb,q.5bf42ebbc692409e,q.5dcb2b57a2af77bb,q.5f78ee4ca30b8f0d,q.6368bf5907564a9f,q.6370b0a836a3beb4,q.646d77117c488059,q.66c1b6f1560356ef,q.6753d8830d386858,q.69415bdf089224e8,q.6cbf55e7c81df51d,q.6d402b60e647a2d7,q.705c41a579498d1e,q.72cdc719088a4dda,q.751c75311f458392,q.7740b3afa5fd1810,q.78791357f01233fb,q.789f400a72f2dde3,q.7d67c4cb4a009d55,q.7e11a7bed0e877d5,q.7e56f3238e6c5904,q.7f34381df64db829,q.80aebdbe9dd8458c,q.8350ab20dc5792f3,q.84ae95a99c262132,q.852fd389ae7973c2,q.876a996d5a5cd7b2,q.8773ae79bcad770c,q.87aa120f411c2179,q.87b6b254c9c11cda,q.88352d6f7fe4e61,q.8d69b9298323ec70,q.8f6bacae26b4b931,q.923637a75b13b040,q.947d43cae6516e8e,q.95056fa74f629407,q.960cae7c9416fa60,q.9659def20a9fb5a5,q.981c089fc6a7c217,q.9b7cbe367825f927,q.9c5eceaf0623e18c,q.9d80224ec132cf41,q.9d8ea5f691e722f0,q.9ded7beedd0f70cb,q.9e86aa7f2763be5e,q.9eb154a7fffbe8f,q.9f54a36da2622d71,q.9f8cced1c9ffc6b0,q.9f8e824f8a7ac716,q.a2238cd4e486d2d5,q.a2fbe5b11ecfc533,q.a51a6c786827204,q.a68288650ab00b3e,q.a889f479fdf5019d,q.a9c93f094ffdbf82,q.a9ef4b816bb40994,q.aa3f62d8a180aa96,q.abc79ea95b6fb13,q.ac17f45cb7a2d2c1,q.ade8b59d3591ed97,q.aebc9a0baa527ef6,q.af0d11cae13076c7,q.b024d96d59fe3a67,q.b0947f6d4b41705b,q.b21cac0c6ac1883e,q.b30f5d73d9085e77,q.b4c5f3d55b4e9dc,q.b5397410b8da884d,q.b64a56fe210ee76,q.b8797c414f047fed,q.b87b94fab9e5721,q.b8ec54ce9fa0f604,q.b9001ad4b447f16d,q.b9e6525c9ea322f5,q.bce63656bdf433f7,q.bd7535fc411c2caa,q.c0828d14a81970a6,q.c1bdd6db1974733a,q.c43bdbf9dee1c202,q.c6ab3657420f873b,q.c7a08d59145a63b3,q.cb35558f37b42e38,q.cb6c67abb40b0c5c,q.ccd33ab245c7b6d6,q.cec1c2e07c1de04b,q.cfaa49b6b55da512,q.d237e32dad87729e,q.d347f27623a3ca1e,q.d3a5b39a7ad5a0ca,q.d52f7dd1c179cccc,q.d6795b2b7f551108,q.d6a0d48d06de0363,q.d82ac4b490ed4190,q.d849c2d7d1d265d1,q.d8e8b4c4871429a2,q.dbbde0bc0f9b2209,q.dc39ad5012857c15,q.dc4dd443f9934487,q.dd4f64b58cf72d5c,q.de51ba3769c3249,q.de5b2c348b0f3ff1,q.df3b06727682dba6,q.e100cfa642af9961,q.e14cf04d1a2d6591,q.e2b7d168421c100d,q.e2bc3c157c67d836,q.e2e6e9dc24bfff8b,q.e63ce6956e06be12,q.e7680c04ff2596b,q.e77769c62ef669aa,q.e842348ba2f11f0e,q.eb2ad90db7674b87,q.eb465dc2ac982544,q.ebc37510f9820b16,q.ec9dde9dbdf020cb,q.ed235abd1be8d96b,q.ed630e127180f97d,q.ed89ba6de0fb1f6d,q.efde08274f9bf517,q.f1199fb8140b5877,q.f3228b87e7b1b7f3,q.f38279ed28be5363,q.f3dcff7d95f7730f,q.f6a9f5f4a79af318,q.f868b5793b7ff2d,q.ff60c9b4f7de6530,user_us
0,10198,0,7903,0,0,76040,0,14036,24851,7604,833,0,0,0,3528051,0,0,303376,3462,17856967,348,2036,7142,0,0,0,0,22519,0,52285,1411,8100,361,0,6192,16612,0,0,0,0,2349,0,0,0,0,0,0,0,9389,0,0,0,0,1200,0,0,0,0,401,5891,2430,2534664,19131,0,0,7870,0,0,0,0,15839,0,0,798,0,0,0,0,99727,0,0,6720,0,0,13418,23890,0,503,0,0,681,0,0,3953,10341,452,6695,91875,7169,0,0,0,0,0,6175,13468,3892574,0,0,28143,0,0,10876,0,0,612285,0,67005,847,11254,0,0,10003,7473,0,17534,0,0,0,4514,0,0,7532,0,0,0,16655,0,0,4887,0,0,0,353,0,0,0,0,0,0,0,0,0,3812,0,4275,0,157116,0,0,0,0,15746,0,7201,0,0,0,107165,413,0,0,0,0,0,0,0,2595,0,0,11756,0,13401,99500000
0,12237,0,8824,0,0,61461,0,14796,24887,4929,0,0,0,0,1098165,0,0,323426,3165,4374471,2421,1649,4794,0,0,0,81,26368,0,21977,2613,6036,0,822,3351,19598,0,906,0,74,512,0,0,0,0,0,0,0,7303,0,0,0,871,1067,0,0,0,0,0,5251,289,2652472,16912,0,0,5698,0,0,0,0,18233,0,0,505,0,3845,0,0,112143,0,0,3686,717,958,14671,20232,0,2977,0,0,0,0,0,3089,8261,0,5724,66963,5374,171,0,0,0,0,4186,12637,3732436,0,75,67862,0,0,9583,0,0,618839,1820,53213,0,7581,0,935,8553,5524,704,17222,0,0,0,5301,0,0,4850,0,0,0,17928,0,491,4900,0,91,0,0,0,0,0,0,0,0,610,0,0,4548,0,4375,451,168660,0,0,441,0,18129,0,4991,0,0,0,174584,1300,0,0,73,0,0,0,481,2463,0,0,7673,0,11644,49280000
0,9381,0,6437,0,0,81512,0,8006,23437,6885,0,928,0,0,2792772,0,0,333701,5295,13794430,2140,1843,7726,0,890,0,0,27196,0,35825,5034,10572,0,5115,6827,21522,0,0,0,0,3906,1445,0,0,0,0,0,0,9974,1960,0,0,2516,448,0,0,0,0,0,6820,1180,2540754,19897,0,0,10479,0,0,0,0,18153,0,0,932,0,0,0,0,97399,0,0,2785,0,2671,11425,19526,0,834,0,0,0,1899,0,9366,14863,2194,8032,99141,8255,0,0,0,0,0,6812,10346,4949053,0,0,27749,21685,0,6825,0,0,594250,605,78815,13808,10871,0,1855,14211,8186,2347,11586,0,0,0,7443,0,554,9247,0,0,0,18027,0,0,5024,0,0,1069,568,0,0,0,0,0,0,1634,0,0,7301,0,4094,0,156493,0,0,1531,0,17521,0,6580,0,0,0,111406,334,0,0,0,0,0,0,587,478,0,0,11645,0,10778,88820000
0,11450,0,8309,0,0,43726,0,15312,17675,3841,199,0,0,0,3862177,0,0,313740,6440,21832362,1615,2087,5365,0,765,0,0,25352,0,39626,2962,6148,4890,3122,2512,24140,0,0,0,0,2206,0,0,0,0,0,0,0,5505,2220,0,0,1155,914,0,0,0,0,0,4704,7515,2636550,25452,0,0,3836,0,0,0,0,13480,0,0,0,0,0,0,0,101671,0,0,5275,0,1551,7354,18352,0,409,0,0,0,0,0,2711,8136,628,4722,51287,5404,0,0,0,0,0,3698,7339,4436792,0,0,34582,0,0,6716,0,0,604223,524,42609,4185,5801,0,1669,5567,4686,998,12893,0,0,613,7152,0,780,13797,0,0,0,17788,0,0,4784,0,0,0,0,0,0,0,0,0,0,722,0,0,4529,0,1914,0,172232,0,0,783,0,12912,0,3556,0,0,0,159989,0,0,0,0,0,0,0,879,408,0,0,6688,0,25733,104790000
0,9216,0,6665,0,0,83766,0,9632,25535,6994,0,0,0,0,2522326,0,0,334190,4519,12265001,3897,1532,7707,0,311,0,0,21284,0,47454,4803,9229,0,6301,0,20012,0,0,0,0,0,0,0,0,0,1488,0,0,13344,0,0,0,3608,1905,0,0,0,0,0,5739,2159,2386372,19653,0,0,8653,0,1400,0,0,21044,0,0,513,0,2847,0,0,104186,0,0,3651,0,3931,10931,23783,0,404,0,0,0,0,0,6318,12505,485,9511,113131,8068,0,0,0,0,0,5854,15209,3691974,368,0,25714,0,0,6996,0,0,597118,282,79665,0,11617,0,1654,19822,9586,2943,14018,0,0,0,5640,0,426,13012,0,0,0,29118,0,0,5007,0,0,0,0,0,0,0,0,0,0,2496,0,0,4656,0,3092,0,159200,0,0,2887,353,18613,0,8368,299,0,0,127908,527,0,0,0,0,0,0,400,3756,0,0,11174,0,14463,80810000
0,12671,0,9095,0,0,28919,0,15197,13239,1731,0,0,0,0,2075153,0,0,359594,4922,10146059,578,1411,2333,0,0,0,0,31735,0,16163,0,2449,0,0,0,27906,0,0,0,0,689,0,0,0,0,0,0,0,2790,0,0,0,0,443,0,0,0,0,0,4874,1053,2659723,9061,0,0,2160,0,0,0,0,8901,0,0,0,0,1615,0,0,121299,0,0,6407,0,0,8411,25289,0,809,0,0,0,0,0,2718,2330,0,2214,31256,1962,0,0,0,0,0,1594,6664,6298095,0,0,35540,0,0,6352,0,0,602959,0,18336,0,2811,0,0,3162,2594,0,15492,0,0,383,4809,0,0,2722,0,0,0,9110,0,0,5308,0,0,0,0,0,0,0,0,0,0,0,0,0,5303,0,2975,0,181838,0,0,0,0,9907,0,1687,0,0,0,97956,540,0,0,0,0,0,0,0,0,0,0,3285,0,7551,69000000
0,11279,0,8171,0,0,49570,0,16161,14180,3027,0,0,0,0,3205140,0,0,293134,9999,17296385,800,1453,3381,0,895,0,0,37728,0,21461,2249,4046,0,6482,0,20560,0,0,0,0,1227,0,0,0,0,0,0,0,4823,0,0,0,2902,8881,0,0,0,0,0,5809,0,3150918,30325,0,0,5140,0,0,0,0,12276,0,0,1840,0,0,0,0,99186,0,0,6691,670,2953,6456,20797,0,500,0,0,688,0,0,2200,20205,14782,2880,44573,4223,0,0,0,0,0,3169,8864,2103336,394,0,35072,0,0,6666,0,0,606937,350,39087,0,5527,0,2039,5392,4244,1647,11809,0,0,0,7250,0,0,2551,0,0,0,22528,0,0,5470,435,0,0,408,0,0,0,0,0,0,1565,0,0,9087,0,2381,868,182379,0,0,2423,959,10911,0,2825,0,0,0,140249,395,0,224,0,0,0,0,394,1205,0,0,4349,0,34524,92180000
0,11451,0,8445,0,0,34671,0,15276,20182,2712,0,0,0,0,3417370,0,0,286810,2217,18059454,0,1445,3964,0,0,0,0,33092,0,19969,3269,3188,0,817,0,18960,0,0,0,0,1764,0,0,0,0,0,0,0,4065,1613,0,0,409,2033,0,0,0,0,0,5707,1806,2835926,17912,0,0,4137,0,0,0,0,15084,0,0,0,0,464,0,0,103451,0,0,4674,0,342,9159,17079,0,384,0,0,0,0,0,4065,6692,973,3118,45632,2734,0,0,0,0,0,3103,11843,1982223,0,0,25845,0,0,10144,0,0,585939,0,33435,0,4879,0,1074,4412,4838,579,15477,0,0,193,1506,0,0,5290,0,0,0,15044,0,0,4815,0,0,0,0,0,0,0,0,0,0,320,0,0,1484,0,5791,0,179899,0,0,597,297,11888,0,3990,0,0,0,135732,0,0,0,0,0,0,0,0,2592,0,0,5000,0,9544,98580000
0,11023,0,8117,0,0,73090,0,13083,26431,6377,198,0,0,0,2014854,0,0,313677,6435,9340494,382,1786,7276,0,0,0,0,25334,0,33034,4090,7417,359,2396,5161,17144,0,0,0,0,1960,0,590,0,0,0,0,0,8279,0,0,0,1633,474,525,0,0,0,305,5667,4605,3135157,16190,0,0,5632,0,0,0,0,18488,0,0,643,0,1211,0,472,101084,0,0,317,0,1580,10525,18928,0,1484,0,508,0,0,0,3932,10441,838,5963,79447,5981,0,0,0,0,300346,4451,11562,4488732,0,0,44177,0,0,9494,318,0,596392,992,64519,934,10618,0,1201,7735,7806,1789,10664,0,0,0,7814,0,0,5027,0,0,0,31761,0,0,5323,0,0,0,0,0,0,0,0,0,479,953,0,0,5900,0,3516,0,190293,0,0,864,0,17775,0,6435,0,0,196,167430,1683,0,0,0,0,534,0,336,1561,0,0,8700,0,11744,71400000
0,11871,0,8930,0,0,49408,0,4731,14480,3122,0,0,0,0,2548397,0,0,305318,9888,13694215,1150,1710,2872,0,886,0,47,19302,0,40429,2038,4007,0,1074,0,26254,0,1530,0,73,23758,0,0,0,0,936,0,0,4288,0,0,0,173,399,0,0,0,0,0,8197,0,3048764,8242,0,0,2795,0,1493,0,0,12196,0,0,961,0,3262,662,0,101910,0,0,5891,0,162,6193,8180,0,0,0,0,732,0,0,1076,12309,535,2643,43724,3033,0,0,0,0,0,2675,16219,4478267,0,48,38755,0,0,5208,0,0,609175,283,39329,0,4159,0,444,5417,3498,308,6239,0,0,148,10341,0,0,14457,0,0,0,27339,0,756,5986,0,87,0,513,0,0,0,0,0,0,310,0,0,8515,0,2522,412,189313,0,0,721,399,9456,0,3484,107,0,0,141890,2603,0,0,76,0,0,0,0,0,0,0,4527,0,15290,79800000
